US36 Express lanes,,,,,,,
Eastbound Express Toll Rate,,,,,,,
Time of Day,Overlook,McCaslin,Interlocken,Wadsworth,Promenade,Sheridan,Lowell
05:00-06:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
06:00-06:30,0.35,0.35,0.35,0.35,0.35,0.35,1.1
06:30-07:00,0.35,0.35,0.35,0.35,0.35,0.35,1.1
07:00-07:15,0.35,0.35,0.35,0.35,0.35,0.35,1.6
07:15-07:30,0.35,0.35,0.35,0.35,0.5,0.85,1.6
07:30-08:00,0.35,0.35,0.35,0.35,0.5,0.85,1.6
08:00-08:30,0.35,0.35,0.35,0.35,0.5,0.85,1.6
08:30-08:45,0.35,0.35,0.35,0.35,0.5,0.85,1.1
08:45-09:00,0.35,0.35,0.35,0.35,0.5,0.85,1.1
09:00-09:45,0.35,0.35,0.35,0.35,0.35,0.35,0.7
09:45-10:00,0.35,0.35,0.35,0.35,0.35,0.35,0.7
10:00-11:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
11:00-14:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
14:00-15:00,0.75,0.75,0.75,0.75,0.75,0.75,0.75
15:00-16:15,1.25,1.25,1.1,1.25,1.35,1.35,1.35
16:15-18:15,1.6,1.6,1.35,1.6,1.6,1.6,1.6
18:15-19:00,1.25,1.25,1.1,1.25,1.35,1.35,1.35
19:00-05:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
weekends,0.35,0.35,0.35,0.35,0.35,0.35,0.35
